"","Civil.Service.grad","gradeval","Group","Gender","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"1","AO/AA",1,"DECC","Female",2010,40,1050,0.0380952380952381,0.0666666666666667,0.659047619047619,FALSE,-0.019047619047619,FALSE,"FALSE2010",-0.019047619047619
"2","AO/AA",1,"DECC","Male",2010,30,1050,0.0285714285714286,0.0666666666666667,0.659047619047619,FALSE,-0.0142857142857143,FALSE,"FALSE2010",-0.0142857142857143
"3","EO",2,"DECC","Female",2010,70,1050,0.0666666666666667,0.20952380952381,0.659047619047619,FALSE,-0.0333333333333333,FALSE,"FALSE2010",-0.0333333333333333
"4","EO",2,"DECC","Male",2010,40,1050,0.0380952380952381,0.20952380952381,0.659047619047619,FALSE,-0.019047619047619,FALSE,"FALSE2010",-0.019047619047619
"5","G6/G7",4,"DECC","Female",2010,160,1050,0.152380952380952,1.52380952380952,0.659047619047619,FALSE,-0.0761904761904762,FALSE,"FALSE2010",-0.0761904761904762
"6","G6/G7",4,"DECC","Male",2010,240,1050,0.228571428571429,1.52380952380952,0.659047619047619,FALSE,-0.114285714285714,FALSE,"FALSE2010",-0.114285714285714
"7","SCS",5,"DECC","Female",2010,20,1050,0.019047619047619,0.380952380952381,0.659047619047619,FALSE,-0.00952380952380952,FALSE,"FALSE2010",-0.00952380952380952
"8","SCS",5,"DECC","Male",2010,60,1050,0.0571428571428571,0.380952380952381,0.659047619047619,FALSE,-0.0285714285714286,FALSE,"FALSE2010",-0.0285714285714286
"9","SEO/HEO",3,"DECC","Female",2010,170,1050,0.161904761904762,1.11428571428571,0.659047619047619,FALSE,-0.080952380952381,FALSE,"FALSE2010",-0.080952380952381
"10","SEO/HEO",3,"DECC","Male",2010,220,1050,0.20952380952381,1.11428571428571,0.659047619047619,FALSE,-0.104761904761905,FALSE,"FALSE2010",-0.104761904761905
"11","AO/AA",1,"DECC","Female",2014,40,1570,0.0254777070063694,0.0382165605095541,0.686624203821656,FALSE,-0.0127388535031847,FALSE,"FALSE2014",-0.0127388535031847
"12","AO/AA",1,"DECC","Male",2014,20,1570,0.0127388535031847,0.0382165605095541,0.686624203821656,FALSE,-0.00636942675159236,FALSE,"FALSE2014",-0.00636942675159236
"13","EO",2,"DECC","Female",2014,80,1570,0.0509554140127389,0.165605095541401,0.686624203821656,FALSE,-0.0254777070063694,FALSE,"FALSE2014",-0.0254777070063694
"14","EO",2,"DECC","Male",2014,50,1570,0.0318471337579618,0.165605095541401,0.686624203821656,FALSE,-0.0159235668789809,FALSE,"FALSE2014",-0.0159235668789809
"15","G6/G7",4,"DECC","Female",2014,300,1570,0.191082802547771,1.75796178343949,0.686624203821656,FALSE,-0.0955414012738854,FALSE,"FALSE2014",-0.0955414012738854
"16","G6/G7",4,"DECC","Male",2014,390,1570,0.248407643312102,1.75796178343949,0.686624203821656,FALSE,-0.124203821656051,FALSE,"FALSE2014",-0.124203821656051
"17","SCS",5,"DECC","Female",2014,40,1570,0.0254777070063694,0.382165605095541,0.686624203821656,FALSE,-0.0127388535031847,FALSE,"FALSE2014",-0.0127388535031847
"18","SCS",5,"DECC","Male",2014,80,1570,0.0509554140127389,0.382165605095541,0.686624203821656,FALSE,-0.0254777070063694,FALSE,"FALSE2014",-0.0254777070063694
"19","SEO/HEO",3,"DECC","Male",2014,290,1570,0.184713375796178,1.08917197452229,0.686624203821656,FALSE,-0.0923566878980892,FALSE,"FALSE2014",-0.0923566878980892
"20","SEO/HEO",3,"DECC","Female",2014,280,1570,0.178343949044586,1.08917197452229,0.686624203821656,FALSE,-0.089171974522293,FALSE,"FALSE2014",-0.089171974522293
"21","AO/AA",1,"DECC","Female",2010,40,1050,0.0380952380952381,0.0666666666666667,0.659047619047619,FALSE,0.019047619047619,TRUE,"TRUE2010",0.019047619047619
"22","AO/AA",1,"DECC","Male",2010,30,1050,0.0285714285714286,0.0666666666666667,0.659047619047619,FALSE,0.0142857142857143,TRUE,"TRUE2010",0.0142857142857143
"23","EO",2,"DECC","Female",2010,70,1050,0.0666666666666667,0.20952380952381,0.659047619047619,FALSE,0.0333333333333333,TRUE,"TRUE2010",0.0333333333333333
"24","EO",2,"DECC","Male",2010,40,1050,0.0380952380952381,0.20952380952381,0.659047619047619,FALSE,0.019047619047619,TRUE,"TRUE2010",0.019047619047619
"25","G6/G7",4,"DECC","Female",2010,160,1050,0.152380952380952,1.52380952380952,0.659047619047619,FALSE,0.0761904761904762,TRUE,"TRUE2010",0.0761904761904762
"26","G6/G7",4,"DECC","Male",2010,240,1050,0.228571428571429,1.52380952380952,0.659047619047619,FALSE,0.114285714285714,TRUE,"TRUE2010",0.114285714285714
"27","SCS",5,"DECC","Female",2010,20,1050,0.019047619047619,0.380952380952381,0.659047619047619,FALSE,0.00952380952380952,TRUE,"TRUE2010",0.00952380952380952
"28","SCS",5,"DECC","Male",2010,60,1050,0.0571428571428571,0.380952380952381,0.659047619047619,FALSE,0.0285714285714286,TRUE,"TRUE2010",0.0285714285714286
"29","SEO/HEO",3,"DECC","Female",2010,170,1050,0.161904761904762,1.11428571428571,0.659047619047619,FALSE,0.080952380952381,TRUE,"TRUE2010",0.080952380952381
"30","SEO/HEO",3,"DECC","Male",2010,220,1050,0.20952380952381,1.11428571428571,0.659047619047619,FALSE,0.104761904761905,TRUE,"TRUE2010",0.104761904761905
"31","AO/AA",1,"DECC","Female",2014,40,1570,0.0254777070063694,0.0382165605095541,0.686624203821656,FALSE,0.0127388535031847,TRUE,"TRUE2014",0.0127388535031847
"32","AO/AA",1,"DECC","Male",2014,20,1570,0.0127388535031847,0.0382165605095541,0.686624203821656,FALSE,0.00636942675159236,TRUE,"TRUE2014",0.00636942675159236
"33","EO",2,"DECC","Female",2014,80,1570,0.0509554140127389,0.165605095541401,0.686624203821656,FALSE,0.0254777070063694,TRUE,"TRUE2014",0.0254777070063694
"34","EO",2,"DECC","Male",2014,50,1570,0.0318471337579618,0.165605095541401,0.686624203821656,FALSE,0.0159235668789809,TRUE,"TRUE2014",0.0159235668789809
"35","G6/G7",4,"DECC","Female",2014,300,1570,0.191082802547771,1.75796178343949,0.686624203821656,FALSE,0.0955414012738854,TRUE,"TRUE2014",0.0955414012738854
"36","G6/G7",4,"DECC","Male",2014,390,1570,0.248407643312102,1.75796178343949,0.686624203821656,FALSE,0.124203821656051,TRUE,"TRUE2014",0.124203821656051
"37","SCS",5,"DECC","Female",2014,40,1570,0.0254777070063694,0.382165605095541,0.686624203821656,FALSE,0.0127388535031847,TRUE,"TRUE2014",0.0127388535031847
"38","SCS",5,"DECC","Male",2014,80,1570,0.0509554140127389,0.382165605095541,0.686624203821656,FALSE,0.0254777070063694,TRUE,"TRUE2014",0.0254777070063694
"39","SEO/HEO",3,"DECC","Male",2014,290,1570,0.184713375796178,1.08917197452229,0.686624203821656,FALSE,0.0923566878980892,TRUE,"TRUE2014",0.0923566878980892
